Area_lower_limit(cm^2),Area_higher_limit(cm^2),Energy [keV],Effective Area [cmÂ²],Efficiency
8.93055,9.87147,0,9.40788,0.64783585
1.76999,3.5697,0.1,2.5107,0.17288927
5.06843,6.93198,0.2,5.96852,0.41099814
3.55871,4.60069,0.3,4.05163,0.27899922
4.70362,5.92018,0.4,5.28723,0.36408385
5.50801,6.63493,0.5,6.05037,0.41663442
5.44433,6.5638,0.6,5.9898,0.41246351
5.8125,6.86565,0.7,6.3376,0.43641336
5.97988,6.94818,0.8,6.45533,0.44452036
6.2221,7.15994,0.9,6.68399,0.46026611
6.42313,7.32568,1,6.874,0.47335039
6.57078,7.44991,1.1,7.01362,0.48296476
6.68403,7.53477,1.2,7.11297,0.48980609
6.76026,7.60188,1.3,7.18784,0.49496172
6.82698,7.65152,1.4,7.23464,0.49818441
6.85565,7.66851,1.5,7.26598,0.50034251
6.86977,7.67453,1.6,7.28027,0.50132654
6.86645,7.66171,1.7,7.26311,0.50014488
6.83192,7.6174,1.8,7.22509,0.49752679
6.76611,7.52503,1.9,7.14513,0.49202066
6.5882,7.32984,2,6.96418,0.47956027
5.00942,5.5589,2.1,5.28441,0.36388966
3.4537,3.82893,2.2,3.64293,0.25085573
4.90664,5.44582,2.3,5.17823,0.356578
5.0256,5.57611,2.4,5.29972,0.36494392
5.02555,5.57095,2.5,5.29166,0.3643889
4.91425,5.43329,2.6,5.17942,0.35665994
4.67978,5.18098,2.7,4.92675,0.33926084
4.66858,5.17432,2.8,4.92422,0.33908662
4.58795,5.08459,2.9,4.83265,0.33278102
4.41387,4.89098,3,4.64834,0.32008925
4.25116,4.71454,3.1,4.48627,0.30892895
4.10899,4.54668,3.2,4.32814,0.29803997
3.6746,4.06278,3.3,3.87031,0.26651334
3.69223,4.08736,3.4,3.89333,0.26809852
3.56772,3.94183,3.5,3.75352,0.25847107
3.42768,3.8042,3.6,3.61221,0.24874033
3.29037,3.64201,3.7,3.46818,0.23882228
3.15505,3.48456,3.8,3.32016,0.22862948
3.0148,3.33551,3.9,3.17041,0.21831754
2.89112,3.19354,4,3.04002,0.20933876
2.77496,3.07581,4.1,2.92822,0.2016401
2.68999,2.97101,4.2,2.83223,0.19503014
2.62376,2.89749,4.3,2.75802,0.18991996
2.57595,2.84811,4.4,2.70725,0.18642389
2.54676,2.81281,4.5,2.67713,0.1843498
2.51998,2.79036,4.6,2.65149,0.1825842
2.49892,2.765,4.7,2.63603,0.18151961
2.48499,2.74512,4.8,2.62106,0.18048876
2.46589,2.72548,4.9,2.59448,0.17865844
2.44006,2.69469,5,2.57046,0.1770044
2.39225,2.64581,5.1,2.51863,0.17343533
2.34102,2.59012,5.2,2.46466,0.16971891
2.2842,2.52211,5.3,2.39657,0.16503016
2.20173,2.43143,5.4,2.31733,0.15957362
2.10627,2.33477,5.5,2.21955,0.15284039
2.00487,2.22538,5.6,2.11426,0.14559002
1.89231,2.0901,5.7,1.99456,0.13734736
1.77417,1.95653,5.8,1.86591,0.12848839
1.64622,1.81953,5.9,1.73497,0.11947174
1.51306,1.67284,6,1.59237,0.10965216
1.38534,1.529,6.1,1.4555,0.10022716
1.26031,1.39593,6.2,1.33256,0.091761389
1.14277,1.25704,6.3,1.20009,0.082639375
1.01851,1.12448,6.4,1.07115,0.07376044
0.897608,0.9943,6.5,0.94404,0.065007521
0.789374,0.870435,6.6,0.828339,0.057040236
0.688079,0.758932,6.7,0.722937,0.049782151
0.597309,0.660507,6.8,0.62708,0.043181344
0.516732,0.571642,6.9,0.545085,0.037535088
0.457127,0.505227,7,0.481132,0.033131222
0.40322,0.445761,7.1,0.423823,0.029184868
0.34871,0.386129,7.2,0.370171,0.025490338
0.310948,0.34369,7.3,0.328028,0.02258833
0.279152,0.306525,7.4,0.293733,0.020226743
0.247721,0.274605,7.5,0.259442,0.017865431
0.218455,0.242279,7.6,0.231223,0.015922243
0.191667,0.211237,7.7,0.201053,0.013844707
0.165103,0.183161,7.8,0.175139,0.012060243
0.143109,0.15754,7.9,0.15107,0.010402828
0.124041,0.13792,8,0.130067,0.0089565413
0.107749,0.118835,8.1,0.112546,0.007750028
0.0925635,0.102325,8.2,0.0968375,0.0066683253
0.0793159,0.0869345,8.3,0.082248,0.005663678
0.0663249,0.0735076,8.4,0.0702135,0.0048349705
0.0568445,0.0630225,8.5,0.0600575,0.0041356184
0.050537,0.0556891,8.6,0.0531925,0.0036628877
0.0456704,0.0507011,8.7,0.0484358,0.0033353367
0.0423944,0.0468592,8.8,0.0443916,0.0030568491
0.0400177,0.04379,8.9,0.0425238,0.0029282306
0.0390395,0.0431556,9,0.0411155,0.0028312537
0.0388274,0.0425392,9.1,0.0414942,0.0028573313
0.0377036,0.0428116,9.2,0.0400093,0.0027550797
0.0368386,0.0406539,9.3,0.0388031,0.0026720195
0.0347591,0.0379175,9.4,0.0362162,0.0024938831
0.0321278,0.0345178,9.5,0.0334017,0.0023000738
0.0282838,0.0315425,9.6,0.0298511,0.002055576
0.0249835,0.0277675,9.7,0.026541,0.0018276393
0.021758,0.0238451,9.8,0.0226989,0.0015630685
0.0181364,0.0202867,9.9,0.0194717,0.0013408404
0.0150382,0.0169965,10,0.0159169,0.0010960534
